1,7.287769,0,43.52384,64
1,7.206469,0,49.39951,64
1,7.032674,0,54.22949,64
1,7.087115,0,41.81219,64
1,7.014521,0,54.23319,64
1,7.204662,0,47.33107,64
1,7.183859,0,41.79081,64
1,7.185867,0,45.44067,64
1,7.153602,0,51.28419,64
1,7.164846,0,65.37541,64
1,7.155662,0,47.34861,64
1,7.003738,0,40.40007,64
1,6.989501,0,51.29294,64
1,7.172544,0,33.37111,64
1,7.155219,0,75.36658,64
1,7.159816,0,42.03019,64
1,7.236456,0,37.87645,64
1,7.246739,0,42.61587,64
1,7.117127,0,55.52132,64
1,7.180751,0,32.51036,64
